timestamp,configuration,run,question_id,question,model,prompt_tokens,response_tokens,total_tokens,markdown_file
20260525_124939,D,1,Q1,Quelle est la dépense culturelle totale des régions en 2023 ?,gpt-4.1,4033,512,4545,20260525_124939_D_Q1_run01.md
20260525_124944,D,1,Q2,Quelle région présente la dépense culturelle totale la plus élevée en 2023 ?,gpt-4.1,4035,512,4547,20260525_124944_D_Q2_run01.md
20260525_124951,D,1,Q3,Quelles colonnes permettent d’identifier les dépenses culturelles d’investissement ?,gpt-4.1,4034,512,4546,20260525_124951_D_Q3_run01.md
20260525_124956,D,1,Q4,Le fichier permet-il de comparer l’évolution des dépenses culturelles des régions entre 2014 et 2023 ?,gpt-4.1,4042,512,4554,20260525_124956_D_Q4_run01.md
20260525_125005,D,1,Q5,Quelle est la dépense culturelle des communes en 2023 ?,gpt-4.1,4032,512,4544,20260525_125005_D_Q5_run01.md
20260525_145648,D,1,Q1,Quelle est la dépense culturelle totale des régions en 2023 ?,gpt-4.1,555,103,658,20260525_145648_D_Q1_run01.md
20260525_145650,D,1,Q2,Quelle région présente la dépense culturelle totale la plus élevée en 2023 ?,gpt-4.1,557,89,646,20260525_145650_D_Q2_run01.md
20260525_145652,D,1,Q3,Quelles colonnes permettent d’identifier les dépenses culturelles d’investissement ?,gpt-4.1,556,86,642,20260525_145652_D_Q3_run01.md
20260525_145653,D,1,Q4,Le fichier permet-il de comparer l’évolution des dépenses culturelles des régions entre 2014 et 2023 ?,gpt-4.1,564,87,651,20260525_145653_D_Q4_run01.md
20260525_145655,D,1,Q5,Quelle est la dépense culturelle des communes en 2023 ?,gpt-4.1,554,111,665,20260525_145655_D_Q5_run01.md
